matrix,row,col
S,4456,6663
I,J,V
198.0,1.0,1.0
207.0,1.0,-1.0
2966.0,1.0,1.0
2998.0,1.0,-1.0
3588.0,1.0,1.0
3606.0,1.0,-1.0
3627.0,1.0,-1.0
201.0,2.0,1.0
210.0,2.0,-1.0
2966.0,2.0,1.0
2998.0,2.0,-1.0
3588.0,2.0,1.0
3606.0,2.0,-1.0
3627.0,2.0,-1.0
205.0,3.0,-1.0
206.0,3.0,1.0
205.0,4.0,1.0
207.0,4.0,-1.0
178.0,5.0,1.0
208.0,5.0,-1.0
2955.0,5.0,1.0
2981.0,5.0,-1.0
3579.0,5.0,1.0
3599.0,5.0,-1.0
3616.0,5.0,-1.0
208.0,6.0,-1.0
209.0,6.0,1.0
208.0,7.0,1.0
210.0,7.0,-1.0
177.0,8.0,1.0
207.0,8.0,-1.0
2966.0,8.0,1.0
2998.0,8.0,-1.0
3588.0,8.0,1.0
3606.0,8.0,-1.0
3627.0,8.0,-1.0
179.0,9.0,1.0
210.0,9.0,-1.0
2966.0,9.0,1.0
2998.0,9.0,-1.0
3588.0,9.0,1.0
3606.0,9.0,-1.0
3627.0,9.0,-1.0
211.0,10.0,-1.0
2955.0,10.0,-1.0
3657.0,10.0,1.0
3979.0,10.0,1.0
211.0,11.0,-1.0
1440.0,11.0,1.0
3579.0,11.0,1.0
3599.0,11.0,-1.0
3738.0,11.0,1.0
3746.0,11.0,-1.0
1.0,12.0,-1.0
3.0,12.0,1.0
1.0,13.0,1.0
4.0,13.0,-1.0
5.0,14.0,-1.0
7.0,14.0,1.0
1424.0,15.0,-1.0
1428.0,15.0,1.0
1818.0,15.0,1.0
1824.0,15.0,-1.0
5.0,16.0,1.0
8.0,16.0,-1.0
213.0,17.0,-1.0
214.0,17.0,1.0
9.0,18.0,-1.0
11.0,18.0,1.0
9.0,19.0,1.0
12.0,19.0,-1.0
221.0,20.0,-1.0
2433.0,20.0,1.0
2955.0,20.0,-1.0
3816.0,20.0,1.0
15.0,21.0,-1.0
23.0,21.0,1.0
15.0,22.0,-1.0
25.0,22.0,1.0
95.0,23.0,1.0
223.0,23.0,-1.0
2981.0,23.0,1.0
3552.0,23.0,-1.0
3566.0,23.0,1.0
33.0,24.0,-1.0
35.0,24.0,1.0
33.0,25.0,-1.0
43.0,25.0,1.0
45.0,26.0,-1.0
47.0,26.0,1.0
45.0,27.0,-1.0
48.0,27.0,1.0
91.0,28.0,-1.0
1829.0,28.0,1.0
2936.0,28.0,1.0
2955.0,28.0,-1.0
3616.0,28.0,-1.0
3657.0,28.0,1.0
62.0,29.0,-1.0
2132.0,29.0,1.0
2981.0,29.0,-2.0
3058.0,29.0,1.0
182.0,30.0,-1.0
183.0,30.0,1.0
1651.0,30.0,1.0
1792.0,30.0,-1.0
2955.0,30.0,-1.0
2981.0,30.0,1.0
3816.0,30.0,1.0
223.0,31.0,1.0
224.0,31.0,-1.0
2981.0,31.0,1.0
2985.0,31.0,-1.0
188.0,32.0,-1.0
1466.0,32.0,1.0
3005.0,32.0,-1.0
3563.0,32.0,1.0
3576.0,32.0,-1.0
178.0,33.0,-1.0
180.0,33.0,1.0
175.0,34.0,1.0
198.0,34.0,-1.0
2966.0,34.0,1.0
2998.0,34.0,-1.0
3588.0,34.0,1.0
3606.0,34.0,-1.0
3627.0,34.0,-1.0
62.0,35.0,-2.0
1440.0,35.0,2.0
2981.0,35.0,-2.0
3616.0,35.0,-1.0
62.0,36.0,-1.0
65.0,36.0,1.0
1818.0,36.0,-1.0
2772.0,36.0,1.0
2981.0,36.0,-1.0
63.0,37.0,-1.0
66.0,37.0,1.0
1824.0,37.0,-1.0
2779.0,37.0,1.0
2998.0,37.0,-1.0
176.0,38.0,1.0
201.0,38.0,-1.0
2966.0,38.0,1.0
2998.0,38.0,-1.0
3588.0,38.0,1.0
3606.0,38.0,-1.0
3627.0,38.0,-1.0
65.0,39.0,-1.0
2955.0,39.0,-1.0
2981.0,39.0,1.0
3979.0,39.0,1.0
4052.0,39.0,1.0
175.0,40.0,1.0
177.0,40.0,-1.0
2966.0,40.0,1.0
2998.0,40.0,-1.0
3588.0,40.0,1.0
3606.0,40.0,-1.0
3627.0,40.0,-1.0
3017.0,41.0,2.0
3019.0,41.0,-2.0
3525.0,41.0,1.0
3528.0,41.0,-1.0
176.0,42.0,1.0
179.0,42.0,-1.0
2966.0,42.0,1.0
2998.0,42.0,-1.0
3588.0,42.0,1.0
3606.0,42.0,-1.0
3627.0,42.0,-1.0
202.0,43.0,1.0
203.0,43.0,-1.0
66.0,44.0,-1.0
2966.0,44.0,-1.0
2998.0,44.0,1.0
3986.0,44.0,1.0
4055.0,44.0,1.0
114.0,45.0,1.0
1731.0,45.0,-1.0
2936.0,45.0,1.0
2955.0,45.0,-1.0
3572.0,45.0,1.0
