vector,row,col
v,6663,1
I,V
2.0,-7.9084487267625e-17
13.0,4.492044019195447e-17
29.0,1.3799422356940586e-17
36.0,-1.3799422356940586e-17
39.0,-1.3799422356940586e-17
45.0,1.2020638063275827e-16
55.0,1.0583060249357708e-16
58.0,1.2020638063275827e-16
59.0,1.2020638063275827e-16
60.0,5.5065930609603586e-17
67.0,1.6346398608167316e-17
68.0,1.6346398608167316e-17
71.0,5.5065930609603586e-17
84.0,1.0583060249357708e-16
90.0,1.6346398608167316e-17
132.0,6.483044471317084e-17
133.0,-2.5435771617197767e-17
135.0,3.8423219164378727e-17
140.0,-2.355111209518419e-16
144.0,3.633549045403667e-18
150.0,-2.4846690109625126e-17
151.0,2.6525844468884496e-18
156.0,1.6346398608167316e-17
157.0,-2.84036721494857e-17
168.0,-5.1146244575407784e-17
178.0,-6.388090284850677e-17
204.0,-7.401486830834377e-17
205.0,9.71863352803081e-17
208.0,9.71863352803081e-17
215.0,-1.2484256627247815e-16
224.0,-0.8684127818006768
226.0,0.8684127818006768
234.0,-5.5065930609603586e-17
252.0,8.884305656822093e-17
253.0,-1.38666955995881e-32
259.0,4.541525642842309e-17
262.0,1.6371190462347048e-16
279.0,-5.5065930609603586e-17
282.0,-9.708304107778753e-17
284.0,2.2460220095977236e-17
317.0,0.2626117490056785
322.0,-9.656150100383087e-17
327.0,-1.2020638063275827e-16
328.0,9.656150100383087e-17
331.0,1.166202671435833e-18
362.0,-5.1146244575407784e-17
384.0,-3.6188427479613186e-17
390.0,3.5947028728168505e-17
408.0,3.6188427479613186e-17
409.0,5.0325862954937516e-18
426.0,2.2460220095977236e-17
430.0,1.1780432056355067e-16
434.0,7.650106965723738e-18
437.0,5.2968366722484984e-17
447.0,6.672377779289778e-18
457.0,2.2460220095977236e-17
458.0,-3.5947028728168505e-17
460.0,-1.6371190462347048e-16
468.0,0.9908161510230111
483.0,-2.6204198623901097e-17
484.0,1.9318748530524776e-17
489.0,-0.6033180028082689
491.0,-0.40743915302997136
492.0,8.375108282732673e-17
495.0,-3.6140582237826146e-17
498.0,-8.375108282732673e-17
500.0,8.858985412319108e-18
