matrix,row,col
S,72,95
I,J,V
8.0,1.0,-1.0
10.0,1.0,1.0
21.0,1.0,-1.0
43.0,1.0,1.0
50.0,1.0,-1.0
51.0,1.0,1.0
8.0,2.0,1.0
9.0,2.0,-1.0
6.0,3.0,-1.0
12.0,3.0,1.0
13.0,3.0,1.0
17.0,3.0,-1.0
11.0,4.0,1.0
18.0,4.0,-1.0
41.0,4.0,1.0
11.0,5.0,-1.0
41.0,5.0,-1.0
45.0,5.0,1.0
6.0,6.0,1.0
7.0,6.0,-1.0
43.0,6.0,1.0
44.0,6.0,-1.0
13.0,7.0,2.0
16.0,7.0,-1.0
17.0,7.0,-1.0
14.0,8.0,-1.0
19.0,8.0,1.0
21.0,8.0,-1.0
50.0,8.0,-1.0
51.0,8.0,1.0
71.0,8.0,1.0
14.0,9.0,1.0
15.0,9.0,-1.0
43.0,9.0,1.0
44.0,9.0,-1.0
8.0,10.0,1.0
24.0,10.0,-1.0
43.0,10.0,1.0
50.0,10.0,-1.0
51.0,10.0,1.0
13.0,11.0,1.0
17.0,11.0,-1.0
41.0,11.0,-1.0
43.0,11.0,1.0
60.0,11.0,1.0
13.0,12.0,-1.0
17.0,12.0,1.0
41.0,12.0,1.0
43.0,12.0,3.0
44.0,12.0,-4.0
60.0,12.0,-1.0
3.0,13.0,-1.496
10.0,13.0,-3.7478
13.0,13.0,59.81
14.0,13.0,4.1182
17.0,13.0,-59.81
21.0,13.0,3.7478
23.0,13.0,-0.361
26.0,13.0,-0.0709
33.0,13.0,-0.129
34.0,13.0,-0.205
36.0,13.0,-0.2557
38.0,13.0,-4.9414
41.0,13.0,-59.81
43.0,13.0,59.81
50.0,13.0,-3.547
51.0,13.0,3.547
52.0,13.0,13.0279
53.0,13.0,-13.0279
58.0,13.0,-1.7867
59.0,13.0,-0.5191
60.0,13.0,59.81
62.0,13.0,-2.8328
66.0,13.0,-0.8977
19.0,14.0,1.0
20.0,14.0,-1.0
10.0,15.0,-1.0
18.0,15.0,1.0
21.0,15.0,1.0
41.0,15.0,-1.0
43.0,15.0,1.0
58.0,15.0,-1.0
41.0,16.0,1.0
43.0,16.0,-2.0
44.0,16.0,2.0
56.0,16.0,-0.5
64.0,16.0,1.0
65.0,16.0,-1.0
43.0,17.0,1.0
44.0,17.0,-1.0
46.0,17.0,1.0
47.0,17.0,-1.0
2.0,18.0,-1.0
41.0,18.0,1.0
59.0,18.0,1.0
24.0,19.0,1.0
25.0,19.0,-1.0
43.0,19.0,1.0
44.0,19.0,-1.0
7.0,20.0,-1.0
9.0,21.0,-1.0
15.0,22.0,-1.0
20.0,23.0,-1.0
25.0,24.0,-1.0
29.0,25.0,-1.0
30.0,26.0,-1.0
32.0,27.0,-1.0
35.0,28.0,-1.0
37.0,29.0,-1.0
39.0,30.0,-1.0
44.0,31.0,-1.0
42.0,32.0,-1.0
47.0,33.0,-1.0
49.0,34.0,-1.0
55.0,35.0,-1.0
57.0,36.0,-1.0
61.0,37.0,-1.0
63.0,38.0,-1.0
70.0,39.0,-1.0
22.0,40.0,1.0
27.0,40.0,-1.0
33.0,40.0,1.0
26.0,41.0,1.0
27.0,41.0,-1.0
41.0,41.0,-1.0
60.0,41.0,1.0
28.0,42.0,1.0
29.0,42.0,-1.0
43.0,42.0,1.0
44.0,42.0,-1.0
28.0,43.0,-1.0
29.0,43.0,1.0
31.0,44.0,-1.0
64.0,44.0,1.0
65.0,44.0,-1.0
69.0,44.0,1.0
26.0,45.0,1.0
30.0,45.0,-1.0
59.0,45.0,-1.0
62.0,45.0,1.0
31.0,46.0,-1.0
41.0,46.0,-1.0
48.0,46.0,1.0
31.0,47.0,1.0
32.0,47.0,-1.0
43.0,47.0,2.0
44.0,47.0,-2.0
5.0,48.0,1.0
34.0,48.0,-1.0
43.0,48.0,1.0
52.0,48.0,-1.0
53.0,48.0,1.0
1.0,49.0,1.0
33.0,49.0,-1.0
43.0,49.0,1.0
50.0,49.0,-1.0
51.0,49.0,1.0
60.0,49.0,-1.0
34.0,50.0,1.0
35.0,50.0,-1.0
59.0,50.0,-1.0
62.0,50.0,1.0
13.0,51.0,1.0
17.0,51.0,-1.0
36.0,51.0,1.0
38.0,51.0,-1.0
43.0,51.0,1.0
54.0,51.0,-1.0
60.0,51.0,1.0
13.0,52.0,1.0
17.0,52.0,-1.0
36.0,52.0,1.0
37.0,52.0,-1.0
41.0,52.0,-1.0
43.0,52.0,1.0
60.0,52.0,1.0
14.0,53.0,1.0
38.0,53.0,-1.0
41.0,53.0,-1.0
43.0,53.0,1.0
52.0,53.0,-1.0
53.0,53.0,1.0
54.0,53.0,1.0
36.0,54.0,-1.0
38.0,54.0,1.0
41.0,54.0,-1.0
54.0,54.0,1.0
14.0,55.0,-1.0
36.0,55.0,-1.0
38.0,55.0,2.0
43.0,55.0,-1.0
52.0,55.0,1.0
53.0,55.0,-1.0
38.0,56.0,1.0
39.0,56.0,-1.0
43.0,56.0,1.0
44.0,56.0,-1.0
4.0,57.0,-1.0
19.0,57.0,1.0
52.0,57.0,-1.0
53.0,57.0,1.0
67.0,57.0,1.0
41.0,58.0,1.0
42.0,58.0,-1.0
14.0,59.0,1.0
19.0,59.0,1.0
45.0,59.0,-1.0
52.0,59.0,-1.0
53.0,59.0,1.0
40.0,60.0,1.0
45.0,60.0,-1.0
69.0,60.0,1.0
43.0,61.0,1.0
46.0,61.0,-1.0
50.0,61.0,-1.0
51.0,61.0,1.0
62.0,61.0,1.0
10.0,62.0,-1.0
21.0,62.0,1.0
40.0,62.0,-1.0
41.0,62.0,-1.0
43.0,62.0,1.0
48.0,62.0,1.0
43.0,63.0,2.0
44.0,63.0,-2.0
48.0,63.0,1.0
49.0,63.0,-1.0
43.0,64.0,1.0
48.0,64.0,-1.0
50.0,64.0,-1.0
51.0,64.0,1.0
58.0,64.0,1.0
19.0,65.0,1.0
48.0,65.0,-1.0
50.0,65.0,-1.0
51.0,65.0,1.0
62.0,65.0,1.0
19.0,66.0,1.0
48.0,66.0,-1.0
52.0,66.0,-1.0
53.0,66.0,1.0
62.0,66.0,1.0
43.0,67.0,-4.0
44.0,67.0,3.0
50.0,67.0,1.0
51.0,67.0,-1.0
64.0,67.0,-1.0
65.0,67.0,1.0
50.0,68.0,-1.0
51.0,68.0,1.0
52.0,68.0,1.0
53.0,68.0,-1.0
54.0,69.0,1.0
55.0,69.0,-1.0
56.0,70.0,1.0
57.0,70.0,-1.0
10.0,71.0,1.0
19.0,71.0,1.0
21.0,71.0,-1.0
50.0,71.0,-1.0
