vector,row,col
v,95,1
I,V
7.0,-2.018024179776663e-17
8.0,6.797899374663141e-17
13.0,6.804868350086155e-19
15.0,-5.724064469242808e-18
18.0,1.1767050081266368e-18
40.0,9.165566649029994e-18
41.0,-9.165566649029994e-18
42.0,-0.10937336742125003
43.0,-0.10937336742125003
44.0,-0.9569002300321277
45.0,1.9276831062124064e-18
46.0,-2.508256573420481e-19
49.0,2.1947133132995257e-18
52.0,1.8552793069674895e-18
55.0,1.6812788232557863e-18
59.0,6.685789168595471e-17
60.0,-5.526032557391578e-17
62.0,-5.526032557391578e-17
65.0,0.3861639369022689
66.0,-0.38616393690226897
67.0,2.508256573420481e-19
68.0,-0.3314772531916439
71.0,-5.843406148291329e-17
74.0,-3.8452853077593015e-17
75.0,-2.1947133132995257e-18
77.0,-1.1767050081266368e-18
79.0,2.381458297007046e-17
85.0,1.5192108403819004e-17
86.0,1.5192108403819004e-17
89.0,-0.9569002300321277
91.0,3.1240745586863356e-17
92.0,0.05468668371062502
93.0,-1.580298143560624e-17
94.0,3.0995089839425244e-17
95.0,9.165566649029994e-18
