matrix,row,col
V,95,20
I,J,V
1.0,1.0,-3.5514756985727985e-12
2.0,1.0,-8.023911258939318e-12
3.0,1.0,3.0698410446693226e-12
4.0,1.0,1.2595896135005287e-12
5.0,1.0,1.0645293725178943e-12
6.0,1.0,2.958328522873629e-12
7.0,1.0,-1.5722358597523776e-11
8.0,1.0,-5.242862429248487e-12
9.0,1.0,-1.8065144490802694e-12
10.0,1.0,4.5216641089892095e-12
11.0,1.0,1.2430283335922498e-12
12.0,1.0,-1.8974350700146402e-12
13.0,1.0,-3.3335723933438107e-16
14.0,1.0,2.5950402409526623e-12
15.0,1.0,1.3140335603880248e-12
16.0,1.0,6.271327987537874e-13
17.0,1.0,1.7664972311442005e-12
18.0,1.0,-1.6600437193310267e-12
19.0,1.0,4.4732346094775525e-12
20.0,1.0,-2.912210826595243e-12
21.0,1.0,7.99634322001038e-12
22.0,1.0,1.8426790206627045e-12
23.0,1.0,-2.636222259428138e-12
24.0,1.0,-4.515761663657025e-12
25.0,1.0,3.091492270526274e-13
26.0,1.0,1.6586667839419606e-12
27.0,1.0,-5.53395234859943e-14
28.0,1.0,-1.0252131711596745e-12
29.0,1.0,8.541694580405826e-14
30.0,1.0,-1.5309217838363613e-12
31.0,1.0,-6.364929681272164e-13
32.0,1.0,5.239494226554139e-13
33.0,1.0,-1.8163450818948346e-12
34.0,1.0,3.758939742192834e-12
35.0,1.0,1.1214904167492593e-12
36.0,1.0,-3.3922423044397566e-13
37.0,1.0,2.2161086931546658e-13
38.0,1.0,-6.808227270623473e-12
39.0,1.0,6.808487906157903e-13
40.0,1.0,-8.030316541938845e-13
41.0,1.0,4.9672403665018e-12
42.0,1.0,-0.37001850898667965
43.0,1.0,-0.37001850898629585
44.0,1.0,-0.956900230029846
45.0,1.0,-1.7913291248741442e-12
46.0,1.0,1.8838337218248789e-13
47.0,1.0,2.2230052395970782e-13
48.0,1.0,-4.246557189247448e-13
49.0,1.0,-1.5928977119055188e-12
50.0,1.0,9.160008654457295e-13
51.0,1.0,-6.1198077015926444e-12
52.0,1.0,-2.475399316460236e-13
53.0,1.0,1.7101296229775894e-11
54.0,1.0,-2.2095654468827943e-11
55.0,1.0,1.572559465293558e-11
56.0,1.0,1.6419290860615658e-12
57.0,1.0,-4.2367659159173757e-13
58.0,1.0,-5.22292717700802e-13
59.0,1.0,-4.93382233622756e-12
60.0,1.0,5.946172309360676e-12
61.0,1.0,1.5866158985001338e-12
62.0,1.0,5.903758666524808e-12
63.0,1.0,-3.762076798067108e-12
64.0,1.0,-4.998350458880879e-13
65.0,1.0,0.3861639369069757
66.0,1.0,-0.3861639369042177
67.0,1.0,6.742868557851292e-13
68.0,1.0,-0.20115468241616102
69.0,1.0,-1.0611458840296557e-12
70.0,1.0,3.9571918617086746e-13
71.0,1.0,7.135023919507466e-12
72.0,1.0,4.0756737370042735e-12
73.0,1.0,4.810161948095928e-13
74.0,1.0,1.2632786354744676e-12
75.0,1.0,1.547559127955578e-12
76.0,1.0,-3.673474125706043e-13
77.0,1.0,1.6865304141091166e-12
78.0,1.0,-1.1988328095877867e-13
79.0,1.0,4.492395506679244e-12
80.0,1.0,2.716563818274032e-12
81.0,1.0,-1.5719586840591736e-11
82.0,1.0,-3.1189108143510482e-12
83.0,1.0,-1.8322257748679184e-11
84.0,1.0,6.8270778636108074e-12
85.0,1.0,-1.967019563110964e-13
86.0,1.0,3.3444445133413547e-14
87.0,1.0,1.20706536137346e-12
88.0,1.0,1.821034822210453e-12
89.0,1.0,-0.9569002300298347
90.0,1.0,5.293401571282871e-12
91.0,1.0,-1.9527985816940998e-13
92.0,1.0,0.1850092544925425
93.0,1.0,-1.1633401158751529e-15
94.0,1.0,-2.0472847645709655e-13
95.0,1.0,-8.582230158680781e-13
1.0,2.0,3.3853400944496e-12
2.0,2.0,4.059151793222617e-12
3.0,2.0,-4.954724289077013e-13
4.0,2.0,-2.56442162380227e-13
5.0,2.0,-2.0087112724727042e-13
6.0,2.0,-4.4335089364789624e-13
7.0,2.0,-2.0412562732751116e-13
8.0,2.0,-1.2036758778860744e-12
9.0,2.0,-1.9907212947727668e-12
10.0,2.0,-6.925842483883238e-13
11.0,2.0,-1.2000677496340556e-12
12.0,2.0,-9.581066444585346e-13
13.0,2.0,-1.5551362666343891e-13
14.0,2.0,6.060869189983004e-13
15.0,2.0,-1.3285425643586988e-13
16.0,2.0,-2.5579729244925424e-12
17.0,2.0,-3.531317586052813e-12
18.0,2.0,-7.01658755386256e-13
19.0,2.0,-5.306738377992569e-13
20.0,2.0,5.916608032897097e-13
21.0,2.0,-4.051773657814418e-12
22.0,2.0,1.9975895724060488e-12
23.0,2.0,-4.2844670748258885e-13
24.0,2.0,4.862576619774748e-13
25.0,2.0,1.4255652803000154e-12
26.0,2.0,-2.0861034533553395e-12
27.0,2.0,-3.545950161619018e-12
28.0,2.0,2.8911818989672227e-12
29.0,2.0,-8.4481890576792e-12
30.0,2.0,2.7790460866607487e-12
31.0,2.0,-1.6701439522877376e-13
32.0,2.0,-1.708314436452085e-11
33.0,2.0,3.5226561296807154e-12
34.0,2.0,-5.185148830936802e-12
35.0,2.0,1.4652275934325286e-11
36.0,2.0,1.2644011526104604e-12
37.0,2.0,3.4511607185754025e-13
38.0,2.0,2.9347054848873936e-12
39.0,2.0,8.923065992838324e-12
40.0,2.0,-1.6584770916119652e-13
41.0,2.0,-1.0949858290817576e-12
42.0,2.0,-0.3129844527054399
43.0,2.0,-0.3129844527039655
44.0,2.0,0.163397854140109
45.0,2.0,2.023516261601913e-12
46.0,2.0,-2.133928542102191e-12
47.0,2.0,3.5550135145335284e-12
48.0,2.0,-1.8759509134514035e-12
49.0,2.0,-9.525342385004124e-13
50.0,2.0,-2.932778932086413e-12
51.0,2.0,2.3422133309595514e-12
52.0,2.0,8.432650746152901e-12
53.0,2.0,1.394813169907423e-11
54.0,2.0,3.086509059881426e-12
55.0,2.0,7.731526237045915e-12
56.0,2.0,-2.7913565289206692e-12
57.0,2.0,-1.779569255975557e-12
58.0,2.0,1.7087185642447626e-11
59.0,2.0,-4.732362681258484e-12
60.0,2.0,4.420052714201753e-12
61.0,2.0,-3.560592444202296e-12
62.0,2.0,4.460748827432006e-12
63.0,2.0,5.176809848491792e-12
64.0,2.0,-1.4485433791091208e-12
65.0,2.0,0.15649222636100482
66.0,2.0,-0.15649222635211169
67.0,2.0,3.001835691134186e-12
68.0,2.0,-2.2197442830665123e-12
69.0,2.0,-1.4653079863367883e-11
70.0,2.0,-1.3334590970249271e-12
71.0,2.0,-6.663409656281917e-13
72.0,2.0,-1.3593084861697586e-12
73.0,2.0,1.5439182443608474e-12
74.0,2.0,-1.101127379279688e-12
75.0,2.0,1.0060616788885369e-12
76.0,2.0,-1.7970621220166086e-12
77.0,2.0,6.533870776453344e-13
