vector,row,col
v,13543,1
I,V
6.0,-7.801551802619217e-15
38.0,1.4696030867784935e-15
54.0,1.2207723720591237e-15
66.0,-2.0853208137009914e-15
90.0,4.850328822475115e-16
91.0,4.850328822475115e-16
134.0,1.6573273102255353e-14
146.0,-1.4696030867784935e-15
152.0,7.634489434177608e-15
153.0,7.634489434177608e-15
154.0,-2.5864436331748366e-14
162.0,-2.0102555508735586e-15
163.0,-2.85886114555501e-17
171.0,3.3693377537411697e-15
174.0,-1.656889129439319e-16
186.0,-7.634489434177608e-15
187.0,7.634489434177608e-15
190.0,1.5268978868355216e-14
193.0,5.319012467013137e-15
195.0,5.319012467013137e-15
196.0,1.5268978868355216e-14
197.0,-1.5268978868355216e-14
200.0,-7.222229877685942e-17
201.0,-7.222229877685942e-17
220.0,-3.754655215909951e-15
229.0,-2.1511527369920103e-14
236.0,1.5183255085444804e-15
237.0,-7.222229877685942e-17
244.0,-6.778296391966598e-17
248.0,8.529049054822613e-14
250.0,1.0585721562575545e-16
253.0,1.2096806172728448e-14
257.0,1.2096806172728448e-14
262.0,2.465190328815662e-32
272.0,5.238632688088626e-16
280.0,1.8648175597346917e-15
293.0,-5.134335993537277e-15
295.0,-5.134335993537277e-15
299.0,-2.2514486854560583e-14
303.0,9.459148773827588e-16
311.0,5.238632688088626e-16
318.0,-2.7488996536184916e-14
320.0,-2.7488996536184916e-14
322.0,-0.24423555858818788
323.0,-0.4730225419109243
326.0,0.5416478603645871
334.0,-0.2771858120931503
342.0,-5.134335993537277e-15
352.0,1.0175195526842963e-15
353.0,1.0175195526842963e-15
358.0,-2.1511527369920103e-14
370.0,-7.010625560456081e-15
371.0,7.010625560456081e-15
384.0,-5.134335993537277e-15
397.0,-0.8279572379973567
398.0,2.2746915645994964e-16
402.0,-5.134335993537277e-15
422.0,2.475981364615246e-21
423.0,-7.452613419686371e-15
429.0,1.391067157498378e-22
431.0,6.573999409241365e-22
435.0,1.5749222278744153e-17
438.0,-1.7061657468639498e-17
446.0,-1.0247340047594384e-14
455.0,3.1530495912758626e-16
457.0,0.4861024853097959
461.0,0.896098388986523
474.0,-6.778296391966598e-17
476.0,-1.9721522630525295e-31
480.0,-1.5268978868355216e-14
492.0,7.634489434177608e-15
495.0,1.5268978868355216e-14
500.0,-1.5268978868355216e-14
504.0,8.898535081364111e-15
514.0,1.595028428685556e-14
534.0,1.9727547005752112e-16
547.0,2.1649348980190553e-14
