vector,row,col
v,13094,1
I,V
12.0,1.7024370437230083e-19
19.0,-3.804688847172603e-20
22.0,-2.708422569559331e-20
23.0,3.804688847172603e-20
30.0,6.123882730700735e-17
33.0,-2.269916058189005e-19
35.0,2.269916058189005e-19
37.0,2.269916058189005e-19
39.0,6.123882730700735e-17
41.0,7.039873061077388e-17
44.0,1.5679951144521898e-17
65.0,7.566386860630016e-20
69.0,7.566386860630016e-20
71.0,7.039873061077388e-17
72.0,7.039873061077388e-17
110.0,-7.247076212227684e-16
128.0,1.3188173955906577e-16
134.0,2.036889775740324e-15
138.0,-9.834155804526323e-16
140.0,5.764784556530474e-16
141.0,3.091480789022787e-16
143.0,-1.428765975315015e-20
176.0,-6.11738297745323e-31
181.0,-9.353952588535733e-16
185.0,-6.582543176797868e-16
193.0,3.0308538289235946e-20
196.0,-2.2570188074244134e-20
201.0,-2.2570188074244134e-20
202.0,-2.2570188074244134e-20
203.0,1.5224202254887795e-19
204.0,-1.5224202254887795e-19
218.0,8.042148780390124e-17
219.0,-1.2709370541456784e-16
222.0,2.1240832034483152e-17
225.0,2.622017458251638e-16
227.0,2.622017458251638e-16
233.0,-9.645663035778183e-17
237.0,1.4507133269320452e-16
241.0,-1.4873693446178755e-16
245.0,-9.645663035778183e-17
246.0,1.2071599321872737e-15
256.0,5.282979799699042e-16
267.0,2.4913357922832913e-16
274.0,-2.7512076838511878e-17
275.0,7.570912791715661e-17
284.0,-9.99448196947784e-17
287.0,1.4507133269320452e-16
288.0,1.4507133269320452e-16
289.0,-1.4507133269320452e-16
290.0,1.4507133269320452e-16
291.0,1.4507133269320452e-16
292.0,-1.4507133269320452e-16
293.0,1.4507133269320452e-16
297.0,4.334619244933984e-31
305.0,1.1607525314362279e-20
313.0,3.5842690378286966e-17
320.0,3.5842690378286966e-17
321.0,3.5734284224517504e-16
329.0,1.0722517732184413e-16
331.0,2.142792862679269e-16
333.0,-1.5304045896091955e-16
334.0,1.49186824946001e-16
336.0,-1.6084297560780249e-16
347.0,7.234563976660174e-16
348.0,-7.234563976660174e-16
351.0,6.214203736332883e-17
353.0,-7.234563976660174e-16
358.0,8.318726463646517e-20
359.0,9.99448196947784e-17
362.0,-8.318726463646517e-20
363.0,1.49186824946001e-16
364.0,-8.234012173607958e-16
367.0,3.6423432388561625e-16
372.0,-6.410212931649103e-17
373.0,9.645663035778183e-17
374.0,-9.645663035778183e-17
376.0,-1.49186824946001e-16
382.0,3.5734284224517504e-16
386.0,-1.2745689653328988e-16
391.0,1.428765975315015e-20
394.0,-1.6084297560780249e-16
398.0,-5.03510559266403e-16
402.0,1.49186824946001e-16
403.0,-3.6423819306071563e-16
406.0,-2.423569177762179e-17
409.0,8.234012173607958e-16
410.0,1.4507133269320452e-16
418.0,4.8775236198183784e-17
420.0,3.944304526105059e-31
421.0,3.5842690378286966e-17
425.0,-2.0316501970254157e-16
427.0,9.994675428232808e-17
429.0,-3.384988371637919e-16
440.0,3.5842690378286966e-17
441.0,1.0669674849350244e-15
447.0,3.5842690378286966e-17
455.0,-3.6423432388561625e-16
476.0,-3.6423432388561625e-16
493.0,8.042148780390124e-17
494.0,3.6423432388561625e-16
496.0,-3.6423432388561625e-16
498.0,1.322993207360688e-16
502.0,-5.1902590521025783e-17
503.0,-9.99448196947784e-17
510.0,1.0509367729583383e-15
517.0,-1.4501716424181334e-16
518.0,4.058179657075073e-17
521.0,1.4026071267508815e-16
522.0,-7.754670455446028e-16
524.0,-2.2270931454760297e-15
525.0,4.0100263053578607e-16
527.0,1.7590642314223391e-15
529.0,-4.226004488689652e-16
530.0,2.3488385351882818e-15
531.0,4.667193074723141e-16
533.0,-4.226004488689652e-16
534.0,2.3488385351882818e-15
549.0,5.221068688830537e-16
553.0,-5.370263677644535e-16
558.0,5.370263677644535e-16
559.0,1.4919498881399915e-17
560.0,1.4919498881399915e-17
567.0,-4.334619244933984e-31
571.0,-4.334619244933984e-31
576.0,-4.256645231972282e-17
577.0,-4.965507680923052e-16
581.0,-5.39117220412028e-16
583.0,-5.39117220412028e-16
585.0,-3.091480789022787e-16
589.0,-1.2560985286054748e-16
591.0,-1.2560985286054748e-16
592.0,-1.2560985286054748e-16
594.0,-1.2560985286054748e-16
598.0,-1.2560985286054748e-16
600.0,-1.2560985286054748e-16
604.0,-1.2560985286054748e-16
606.0,-1.2560985286054748e-16
613.0,1.2560985286054748e-16
615.0,1.2560985286054748e-16
616.0,-1.2560985286054748e-16
618.0,-1.2560985286054748e-16
620.0,-1.2560985286054748e-16
628.0,-3.091480789022787e-16
630.0,5.221068688830537e-16
635.0,-1.2560985286054793e-16
636.0,-1.2560985286054793e-16
637.0,-1.2560985286054793e-16
639.0,1.4256837686356537e-15
640.0,-1.2560985286054748e-16
652.0,-3.491340429848953e-16
657.0,-4.8364688742130915e-20
660.0,5.419580539044964e-16
670.0,1.0853875567120957e-15
672.0,2.7498974387180946e-17
680.0,5.419580539044964e-16
681.0,-5.419580539044964e-16
683.0,2.4705839249005338e-15
685.0,-2.7797320038028124e-15
692.0,-2.7797320038028124e-15
705.0,-2.5121970572109496e-16
709.0,-9.015819646520305e-17
710.0,-3.545165639534443e-17
711.0,3.545165639534443e-17
712.0,3.545165639534443e-17
713.0,-1.2560985286054748e-16
714.0,-1.2560985286054748e-16
717.0,-1.2560985286054748e-16
718.0,-2.5121970572109496e-16
719.0,-1.2560985286054748e-16
720.0,-1.2560985286054748e-16
723.0,-4.059233836871071e-17
727.0,-7.536591171632848e-16
731.0,7.536591171632848e-16
734.0,7.500418166646775e-20
735.0,7.500418166646775e-20
736.0,7.500418166646775e-20
737.0,7.500418166646775e-20
742.0,-1.2560985286054748e-16
743.0,-1.2560985286054748e-16
744.0,-1.2560985286054748e-16
745.0,7.536591171632848e-16
746.0,7.536591171632848e-16
747.0,7.536591171632848e-16
748.0,7.536591171632848e-16
757.0,-8.896237235952472e-17
758.0,-8.896237235952472e-17
775.0,2.9215774663391396e-15
778.0,1.1728784801685176e-15
797.0,2.4349077942450437e-16
801.0,5.679103013188437e-17
803.0,-2.895122712290561e-16
806.0,-4.059250731167797e-16
807.0,4.058179657075073e-16
808.0,4.058179657075073e-16
810.0,4.058179657075073e-16
834.0,8.896237235952472e-17
835.0,8.896237235952472e-17
850.0,-8.896237235952472e-17
851.0,-8.896237235952472e-17
852.0,-8.896237235952472e-17
870.0,8.896237235952472e-17
883.0,1.2560985286054748e-16
885.0,1.0865214904272667e-15
886.0,6.280492643027374e-17
887.0,6.280492643027374e-17
