vector,row,col
v,4456,1
I,V
1.0,-4.811317574977974e-17
2.0,-1.812237498918612e-16
3.0,-4.0772994804232886e-17
6.0,1.2148552667108833e-16
8.0,3.5563291036307825e-16
10.0,6.134517786843781e-17
11.0,-1.7488196125131445e-16
13.0,-0.6939427150826367
21.0,5.654004242589037e-17
23.0,1.540075043371622e-16
26.0,2.88875055258352e-16
32.0,-2.9890846151462097e-16
33.0,0.6939427150826365
35.0,0.6939427150826362
42.0,5.209530664396523e-16
57.0,4.885890143201378e-17
62.0,-5.098922765716642e-17
63.0,3.376371729459245e-17
71.0,-2.465190328815662e-32
76.0,-4.451642902228081e-18
85.0,4.8858901432013767e-17
98.0,4.881793597337155e-18
99.0,-2.9784692329681066e-17
100.0,-1.3782461028703086e-16
101.0,-2.3765652803859186e-17
102.0,-1.2432666087743145e-16
104.0,2.3765652803859186e-17
111.0,4.8817935973369e-18
113.0,1.3307908877871801e-16
114.0,4.305429698220103e-17
116.0,3.519542756645514e-17
119.0,3.519542756645514e-17
121.0,-3.697785493223493e-32
122.0,-1.2432666087743123e-16
126.0,-6.644407305106504e-18
127.0,3.2620303645883335e-17
132.0,6.644407305106504e-18
136.0,-2.9784692329681066e-17
137.0,-2.680622309671296e-16
141.0,-1.3699226075162668e-17
144.0,-5.1148250248861454e-17
148.0,-1.759771378322757e-17
151.0,-4.8817935973369e-18
153.0,-3.519542756645514e-17
155.0,-3.5159675356851114e-17
158.0,6.649230520145376e-17
169.0,-3.389636702121535e-31
172.0,3.0307589168605252e-18
174.0,3.0307589168605252e-18
175.0,5.662012463853956e-17
179.0,-3.5159675356851114e-17
185.0,8.932104785463174e-17
187.0,8.43133201428298e-17
188.0,8.658928543151273e-17
189.0,8.658928543151273e-17
190.0,9.69689860667219e-17
191.0,-9.69689860667219e-17
194.0,1.0465247819593968e-16
196.0,-3.5159675356851114e-17
200.0,-6.644407305106504e-18
203.0,1.767321428287962e-17
206.0,1.9190606919163016e-16
207.0,-1.671002792028966e-17
208.0,-1.4794168353150657e-18
209.0,8.932104785463174e-17
210.0,-9.69689860667219e-17
211.0,9.696898606672208e-17
216.0,-2.898141462271843e-16
221.0,1.3952595350937745e-17
222.0,1.3952595350937745e-17
