matrix,row,col
S,2436,3357
I,J,V
2.0,1.0,1.0
1239.0,1.0,-1.0
927.0,2.0,-1.0
59.0,3.0,1.0
108.0,3.0,-1.0
378.0,3.0,-1.0
680.0,3.0,1.0
684.0,3.0,-1.0
66.0,4.0,1.0
115.0,4.0,-1.0
378.0,4.0,-1.0
680.0,4.0,1.0
684.0,4.0,-1.0
99.0,5.0,1.0
238.0,5.0,1.0
349.0,5.0,1.0
378.0,5.0,-1.0
567.0,5.0,-1.0
721.0,5.0,-1.0
98.0,6.0,1.0
238.0,6.0,1.0
349.0,6.0,1.0
378.0,6.0,-1.0
454.0,6.0,-1.0
567.0,6.0,-1.0
87.0,7.0,1.0
238.0,7.0,1.0
297.0,7.0,-1.0
349.0,7.0,1.0
378.0,7.0,-1.0
567.0,7.0,-1.0
112.0,8.0,1.0
238.0,8.0,1.0
349.0,8.0,1.0
378.0,8.0,-1.0
476.0,8.0,-1.0
567.0,8.0,-1.0
88.0,9.0,1.0
238.0,9.0,1.0
292.0,9.0,-1.0
349.0,9.0,1.0
378.0,9.0,-1.0
567.0,9.0,-1.0
125.0,10.0,1.0
238.0,10.0,1.0
349.0,10.0,1.0
378.0,10.0,-1.0
567.0,10.0,-1.0
662.0,10.0,-1.0
89.0,11.0,1.0
238.0,11.0,1.0
349.0,11.0,1.0
378.0,11.0,-1.0
567.0,11.0,-1.0
715.0,11.0,-1.0
119.0,12.0,1.0
238.0,12.0,1.0
349.0,12.0,1.0
378.0,12.0,-1.0
567.0,12.0,-1.0
788.0,12.0,-1.0
90.0,13.0,1.0
238.0,13.0,1.0
349.0,13.0,1.0
378.0,13.0,-1.0
415.0,13.0,-1.0
567.0,13.0,-1.0
108.0,14.0,1.0
238.0,14.0,1.0
283.0,14.0,-1.0
349.0,14.0,1.0
378.0,14.0,-1.0
567.0,14.0,-1.0
115.0,15.0,1.0
238.0,15.0,1.0
349.0,15.0,1.0
378.0,15.0,-1.0
422.0,15.0,-1.0
567.0,15.0,-1.0
40.0,16.0,1.0
244.0,16.0,1.0
257.0,16.0,-1.0
378.0,16.0,1.0
386.0,16.0,-1.0
626.0,16.0,1.0
1402.0,16.0,-1.0
1002.0,17.0,-1.0
1402.0,17.0,1.0
1243.0,18.0,-1.0
1620.0,18.0,1.0
1245.0,19.0,-1.0
1624.0,19.0,1.0
86.0,20.0,1.0
244.0,20.0,1.0
248.0,20.0,-1.0
386.0,20.0,-1.0
1402.0,21.0,1.0
1405.0,21.0,-1.0
1418.0,21.0,-1.0
1462.0,21.0,1.0
40.0,22.0,1.0
248.0,22.0,1.0
257.0,22.0,-1.0
378.0,22.0,1.0
386.0,22.0,-1.0
626.0,22.0,1.0
1405.0,22.0,-1.0
1004.0,23.0,-1.0
1405.0,23.0,1.0
205.0,24.0,-1.0
378.0,24.0,-1.0
523.0,24.0,1.0
680.0,24.0,1.0
684.0,24.0,-1.0
205.0,25.0,1.0
378.0,25.0,1.0
1398.0,25.0,-1.0
1411.0,25.0,-1.0
997.0,26.0,-1.0
1398.0,26.0,1.0
28.0,27.0,1.0
210.0,27.0,1.0
386.0,27.0,-1.0
430.0,27.0,-1.0
201.0,28.0,1.0
773.0,28.0,-1.0
134.0,29.0,1.0
238.0,29.0,-1.0
257.0,29.0,-1.0
653.0,29.0,1.0
662.0,29.0,1.0
847.0,29.0,-1.0
134.0,30.0,1.0
238.0,30.0,-1.0
257.0,30.0,-1.0
653.0,30.0,1.0
715.0,30.0,1.0
849.0,30.0,-1.0
134.0,31.0,1.0
238.0,31.0,-1.0
257.0,31.0,-1.0
404.0,31.0,-1.0
653.0,31.0,1.0
788.0,31.0,1.0
134.0,32.0,1.0
238.0,32.0,-1.0
257.0,32.0,-1.0
406.0,32.0,-1.0
415.0,32.0,1.0
653.0,32.0,1.0
134.0,33.0,1.0
238.0,33.0,-1.0
257.0,33.0,-1.0
653.0,33.0,1.0
733.0,33.0,-1.0
744.0,33.0,1.0
134.0,34.0,1.0
238.0,34.0,-1.0
257.0,34.0,-1.0
653.0,34.0,1.0
727.0,34.0,-1.0
731.0,34.0,1.0
134.0,35.0,1.0
238.0,35.0,-1.0
257.0,35.0,-1.0
474.0,35.0,-1.0
476.0,35.0,1.0
653.0,35.0,1.0
134.0,36.0,1.0
238.0,36.0,-1.0
257.0,36.0,-1.0
450.0,36.0,-1.0
454.0,36.0,1.0
653.0,36.0,1.0
134.0,37.0,1.0
238.0,37.0,-1.0
257.0,37.0,-1.0
653.0,37.0,1.0
721.0,37.0,1.0
738.0,37.0,-1.0
265.0,38.0,-1.0
386.0,38.0,-1.0
391.0,38.0,1.0
657.0,38.0,1.0
687.0,38.0,1.0
711.0,38.0,-1.0
32.0,39.0,-1.0
581.0,39.0,1.0
1270.0,40.0,-1.0
1500.0,40.0,1.0
76.0,41.0,-1.0
144.0,41.0,-1.0
541.0,41.0,1.0
666.0,41.0,1.0
144.0,42.0,1.0
145.0,42.0,-1.0
378.0,42.0,2.0
386.0,42.0,-1.0
676.0,42.0,-1.0
678.0,42.0,1.0
144.0,43.0,1.0
378.0,43.0,1.0
1391.0,43.0,-1.0
1411.0,43.0,-1.0
993.0,44.0,-1.0
1391.0,44.0,1.0
1009.0,45.0,-1.0
1412.0,45.0,1.0
274.0,46.0,-1.0
277.0,46.0,1.0
351.0,46.0,-1.0
378.0,46.0,1.0
676.0,46.0,-1.0
