vector,row,col
v,3357,1
I,V
8.0,5.148897070801925e-17
14.0,-3.160841282748116e-17
28.0,-3.351546120156286e-17
41.0,-9.572183304181503e-17
50.0,-4.333626777442422e-17
72.0,7.317998774451428e-17
73.0,7.317998774451428e-17
76.0,2.869390351287177e-16
77.0,2.869390351287177e-16
78.0,-7.739645808352865e-17
79.0,-7.739645808352865e-17
84.0,4.942327177616823e-17
89.0,-4.942327177616823e-17
102.0,6.254748486910899e-16
105.0,5.748652767797019e-16
114.0,-6.647691080593174e-17
115.0,5.748652767797019e-16
118.0,1.734267187292464e-16
124.0,4.942327177616823e-17
127.0,-1.072280253760179
128.0,-5.414135120893027e-17
147.0,-1.3009045095482218e-16
153.0,6.206975468397589e-17
168.0,-9.383384497664663e-17
170.0,7.270264419348821e-18
182.0,1.1803507443083722e-17
185.0,-2.7309829653494018e-17
186.0,1.9349114520882163e-17
187.0,-6.366978160086049e-17
188.0,-7.802808472426864e-18
190.0,7.943330520589936e-17
197.0,-5.273821162734207e-17
211.0,-5.273821162734207e-17
226.0,7.270264419348821e-18
242.0,-9.383384497664663e-17
255.0,-7.245210114915494e-33
256.0,-7.245210114915494e-33
258.0,-7.245210114915494e-33
260.0,-1.7951372273099046e-16
261.0,1.7951372273099046e-16
263.0,-7.245210114915494e-33
265.0,-9.383384497664663e-17
266.0,-9.383384497664663e-17
284.0,-7.245210114915494e-33
288.0,-6.096005169606524e-17
300.0,3.1642926976405245e-17
314.0,-1.8766768995329327e-16
395.0,-3.383343175010021e-16
459.0,7.739645808352865e-17
475.0,3.643354932122464e-16
481.0,-9.99923720074946e-17
482.0,9.99923720074946e-17
486.0,5.780890624308213e-17
504.0,1.5352650180312713e-17
505.0,-1.5352650180312713e-17
520.0,-7.993898101897025e-17
522.0,-4.942327177616823e-17
600.0,-1.1093356479670479e-31
604.0,4.1285946949151585e-17
605.0,-4.1285946949151585e-17
607.0,4.927659985055356e-18
624.0,7.245210114915494e-33
632.0,-1.355854680848614e-31
633.0,-8.183907107958472e-17
654.0,-7.993898101897025e-17
655.0,-8.183907107958485e-17
662.0,7.278269448494737e-17
667.0,-3.2757502292960324e-16
676.0,2.1740579347667625e-16
686.0,-3.277297318982074e-16
703.0,3.383343175010021e-16
706.0,5.780890624308213e-17
719.0,-5.414135120893027e-17
720.0,-5.414135120893027e-17
727.0,-6.183237006966213e-17
728.0,6.183237006966213e-17
729.0,-7.245210114915494e-33
734.0,1.395372557570935e-16
736.0,-7.770488568743137e-17
737.0,-5.414135120893027e-17
741.0,8.851984472161525e-17
746.0,-3.478990868247829e-16
754.0,-5.414135120893027e-17
755.0,-5.414135120893027e-17
762.0,-1.1928536752031613e-16
763.0,1.1928536752031613e-16
766.0,-4.124075197720592e-17
785.0,-3.160841282748116e-17
804.0,-1.8766768995329327e-16
806.0,-1.8766768995329327e-16
821.0,1.2872242677004812e-17
823.0,7.171974394117803e-17
825.0,3.8769444867598115e-32
826.0,2.1384888084785815e-17
827.0,-4.0006989706568576e-18
828.0,-9.164952036336776e-18
829.0,-8.851984472161525e-17
830.0,-6.20697546839759e-17
832.0,-1.691671587505011e-16
833.0,-2.1384888084785815e-17
835.0,3.4114164624087806e-16
836.0,1.5129520408922088e-16
841.0,1.0110666994881376e-17
842.0,-1.6140587108410225e-16
851.0,1.9299978514404264e-17
853.0,-6.301162617003065e-17
858.0,-1.9299978514404264e-17
860.0,6.301162617003065e-17
865.0,-3.8698229041764326e-17
868.0,-6.109968024224519e-18
870.0,-1.2555071873521126e-16
892.0,-3.160841282748116e-17
919.0,-4.333626777442422e-17
933.0,-3.675490950783026e-16
936.0,3.675490950783026e-16
943.0,5.748652767797019e-16
960.0,-0.687616116620492
1001.0,5.748652767797019e-16
1010.0,-4.942327177616823e-17
1016.0,-2.0266750329259395e-16
1021.0,-2.2192483531946456e-16
1025.0,9.860761315262648e-32
1026.0,-2.219248353194651e-16
1029.0,-2.64113634345243e-17
1053.0,-2.219248353194651e-16
1054.0,-2.219248353194651e-16
1057.0,-9.55453065058961e-17
1076.0,7.317998774451428e-17
1080.0,-7.317998774451428e-17
1082.0,-8.574282293607018e-17
1088.0,-4.2077394124321943e-17
1098.0,-4.2077394124321943e-17
1109.0,4.2077394124321943e-17
1110.0,-7.278269448494737e-17
1112.0,3.1848435501965365e-17
1113.0,-1.2739374200786146e-16
1121.0,3.643354932122464e-16
1124.0,-7.263543783677971e-17
1130.0,-1.7951372273099046e-16
1131.0,-7.877775343850068e-17
1132.0,7.877775343850068e-17
1143.0,1.7951372273099046e-16
1145.0,-3.478990868247829e-16
1160.0,7.171974394117802e-17
1161.0,-7.171974394117802e-17
1166.0,1.2219936048449036e-17
1167.0,-2.1384888084785812e-17
1169.0,1.580420641374058e-17
1171.0,9.164952036336778e-18
1172.0,1.8766768995329327e-16
1177.0,-7.263543783677971e-17
1178.0,-7.263543783677971e-17
1180.0,-8.851984472161525e-17
1181.0,-1.9299978514404264e-17
1185.0,6.109968024224519e-18
1188.0,-7.263543783677971e-17
1189.0,9.164952036336778e-18
1190.0,-9.164952036336778e-18
1195.0,4.3181185516080103e-17
1198.0,-1.2219936048449036e-17
1210.0,-1.0525094020005599e-16
1211.0,3.8698229041764326e-17
1218.0,4.3181185516080103e-17
1219.0,-1.0525094020005599e-16
1221.0,3.8698229041764326e-17
1224.0,-1.2219936048449036e-17
1231.0,-6.206975468397589e-17
1232.0,3.8698229041764326e-17
1234.0,-1.2219936048449036e-17
1256.0,-6.301162617003065e-17
1260.0,-1.2555071873521126e-16
1261.0,-1.9299978514404264e-17
1263.0,6.301162617003065e-17
1268.0,7.171974394117803e-17
1270.0,3.8769444867598115e-32
1271.0,2.1384888084785815e-17
1272.0,-4.0006989706568576e-18
1273.0,-9.164952036336776e-18
