vector,row,col
v,28301,1
I,V
1.0,0.7884767432605027
168.0,0.7912308262428693
208.0,0.5407244658393069
210.0,-0.718800551777025
212.0,-0.8337810116261306
235.0,2.418477106352078e-15
246.0,2.4736004997591138e-14
269.0,1.4735369573990621e-16
276.0,7.893321588738567e-15
294.0,-0.9041225399310633
311.0,7.319430756497706e-15
315.0,0.9083461494870356
346.0,3.82589282506133e-16
347.0,-1.126985759654681e-14
354.0,7.893321588738567e-15
406.0,-2.3265511268971196e-14
413.0,2.5637779913099157e-15
461.0,-1.8818268154133385e-15
477.0,-0.11270321050056337
489.0,-0.5471629963004679
544.0,4.634699865528991e-14
547.0,7.450220565204837e-15
559.0,-2.4369291468749008e-15
571.0,2.4080927772371056e-17
601.0,8.123529380902924e-15
618.0,-6.60985384463141e-17
625.0,-1.5118424403224273e-14
653.0,-0.8880746164892165
668.0,4.167081771615454e-16
698.0,0.9564628129220581
700.0,-0.9564628129220425
701.0,0.7544855941705547
713.0,0.8189710671903276
748.0,-0.9235441828571955
752.0,7.590488530890922e-15
764.0,-0.9564628129220663
825.0,4.634699865528991e-14
833.0,-4.6530035057227496e-14
883.0,0.9771552107398569
885.0,0.9771552107398569
915.0,1.746265397387752e-15
930.0,1.4850130817204548e-15
934.0,0.9595194421957212
935.0,0.8396457480944783
939.0,0.7988263346960769
940.0,0.7988263346960769
986.0,-0.7967782520654388
991.0,-1.1195741254670755
994.0,0.2851924034569985
999.0,6.278990032375806e-15
1003.0,-0.0003051873626266216
1023.0,-1.2429459796680421e-14
1025.0,3.271285142703525e-18
1032.0,4.7441803356533633e-20
1057.0,-3.802704807308012e-15
1066.0,4.6530097422776945e-14
1086.0,-0.9564628129220701
1097.0,6.631497385201063e-15
1128.0,4.49907050066206e-15
1131.0,0.8427211119455194
1143.0,0.6391418800375552
1153.0,-2.942091015256665e-14
1160.0,6.631497385201063e-15
1161.0,9.217565443911203e-17
1169.0,-3.136722643018714e-17
1170.0,-3.136722643018714e-17
1171.0,-3.136722643018714e-17
1212.0,8.09442336729464e-16
1245.0,4.167081771615454e-16
